speed_kn,foc_mt_day,draft_m,wave_m,wind_beaufort
10.0,7.1,7.0,0.0,0
10.0,7.25,7.0,0.0,1
10.0,7.41,7.0,0.0,2
10.0,7.56,7.0,0.0,3
10.0,7.72,7.0,0.0,4
10.0,7.88,7.0,0.0,5
10.0,8.03,7.0,0.0,6
10.0,8.19,7.0,0.0,7
10.0,8.34,7.0,0.0,8
10.0,7.26,7.0,0.25,0
10.0,7.41,7.0,0.25,1
10.0,7.57,7.0,0.25,2
10.0,7.73,7.0,0.25,3
10.0,7.89,7.0,0.25,4
10.0,8.05,7.0,0.25,5
10.0,8.21,7.0,0.25,6
10.0,8.37,7.0,0.25,7
10.0,8.53,7.0,0.25,8
10.0,7.41,7.0,0.5,0
10.0,7.58,7.0,0.5,1
10.0,7.74,7.0,0.5,2
10.0,7.9,7.0,0.5,3
10.0,8.07,7.0,0.5,4
10.0,8.23,7.0,0.5,5
10.0,8.39,7.0,0.5,6
10.0,8.56,7.0,0.5,7
10.0,8.72,7.0,0.5,8
10.0,7.57,7.0,0.75,0
10.0,7.74,7.0,0.75,1
10.0,7.91,7.0,0.75,2
10.0,8.07,7.0,0.75,3
10.0,8.24,7.0,0.75,4
10.0,8.41,7.0,0.75,5
10.0,8.57,7.0,0.75,6
10.0,8.74,7.0,0.75,7
10.0,8.91,7.0,0.75,8
10.0,7.73,7.0,1.0,0
10.0,7.9,7.0,1.0,1
10.0,8.07,7.0,1.0,2
10.0,8.24,7.0,1.0,3
10.0,8.41,7.0,1.0,4
10.0,8.58,7.0,1.0,5
10.0,8.75,7.0,1.0,6
10.0,8.92,7.0,1.0,7
10.0,9.1,7.0,1.0,8
10.0,7.89,7.0,1.25,0
10.0,8.07,7.0,1.25,1
10.0,8.24,7.0,1.25,2
10.0,8.41,7.0,1.25,3
10.0,8.59,7.0,1.25,4
10.0,8.76,7.0,1.25,5
10.0,8.94,7.0,1.25,6
10.0,9.11,7.0,1.25,7
10.0,9.28,7.0,1.25,8
10.0,8.05,7.0,1.5,0
10.0,8.23,7.0,1.5,1
10.0,8.41,7.0,1.5,2
10.0,8.58,7.0,1.5,3
10.0,8.76,7.0,1.5,4
10.0,8.94,7.0,1.5,5
10.0,9.12,7.0,1.5,6
10.0,9.29,7.0,1.5,7
10.0,9.47,7.0,1.5,8
10.0,8.21,7.0,1.75,0
10.0,8.39,7.0,1.75,1
10.0,8.57,7.0,1.75,2
10.0,8.75,7.0,1.75,3
10.0,8.94,7.0,1.75,4
10.0,9.12,7.0,1.75,5
10.0,9.3,7.0,1.75,6
10.0,9.48,7.0,1.75,7
10.0,9.66,7.0,1.75,8
10.0,8.37,7.0,2.0,0
10.0,8.56,7.0,2.0,1
10.0,8.74,7.0,2.0,2
10.0,8.93,7.0,2.0,3
10.0,9.11,7.0,2.0,4
10.0,9.29,7.0,2.0,5
10.0,9.48,7.0,2.0,6
10.0,9.66,7.0,2.0,7
10.0,9.85,7.0,2.0,8
10.0,8.53,7.0,2.25,0
10.0,8.72,7.0,2.25,1
10.0,8.91,7.0,2.25,2
10.0,9.1,7.0,2.25,3
10.0,9.28,7.0,2.25,4
10.0,9.47,7.0,2.25,5
10.0,9.66,7.0,2.25,6
10.0,9.85,7.0,2.25,7
10.0,10.03,7.0,2.25,8
10.0,8.69,7.0,2.5,0
10.0,8.88,7.0,2.5,1
10.0,9.07,7.0,2.5,2
10.0,9.27,7.0,2.5,3
10.0,9.46,7.0,2.5,4
10.0,9.65,7.0,2.5,5
10.0,9.84,7.0,2.5,6
10.0,10.03,7.0,2.5,7
10.0,10.22,7.0,2.5,8
10.0,8.85,7.0,2.75,0
10.0,9.05,7.0,2.75,1
10.0,9.24,7.0,2.75,2
10.0,9.44,7.0,2.75,3
10.0,9.63,7.0,2.75,4
10.0,9.83,7.0,2.75,5
10.0,10.02,7.0,2.75,6
10.0,10.21,7.0,2.75,7
10.0,10.41,7.0,2.75,8
10.0,9.01,7.0,3.0,0
10.0,9.21,7.0,3.0,1
10.0,9.41,7.0,3.0,2
10.0,9.61,7.0,3.0,3
10.0,9.8,7.0,3.0,4
10.0,10.0,7.0,3.0,5
10.0,10.2,7.0,3.0,6
10.0,10.4,7.0,3.0,7
10.0,10.6,7.0,3.0,8
10.0,9.17,7.0,3.25,0
10.0,9.37,7.0,3.25,1
10.0,9.57,7.0,3.25,2
